gully_id outlet_type node_id xcoord ycoord zcoord width length depth method weir_cd orifice_cd a_param b_param efficiency
1085 To_network J33 418441.684178 4577867.66155 37.95 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1086 To_network J33 418460.78424 4577868.24034 37.95 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1087 To_network J33 418469.466087 4577869.397919 37.84 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1088 To_network J43 418451.957696 4577919.752629 34.17 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1089 To_network J43 418460.2336471434 4577920.954952416 34.14 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1090 To_network J48 418559.033802 4577952.45425 32.34 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1091 To_network J51 418540.078437 4578001.506682 31.45 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1092 To_network J51 418548.147287902 4578003.403489479 31.47 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1093 To_network J41 418440.815993 4577988.04982 33.18 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1094 To_network J41 418449.787235 4577990.075584 33.27 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1095 To_network J39 418342.566432 4577944.785286 36.66 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1096 To_network J40 418391.763561 4577975.750538 34.81 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1097 To_network J41 418434.159911 4578006.426395 33.45 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1098 To_network J55 418476.266866 4578033.050724 32.08 1.0 0.2 -9999 W_O 1.6 0.7 -9999 -9999 90.0
1099 To_network J52 418525.463996 4578055.623525 30.39 1.0 0.2 -9999 UPC -9999 -9999 0.496 0.712 90.0
1100 To_network J53 418578.278561 4578072.987217 29.45 1.0 0.2 -9999 UPC -9999 -9999 0.496 0.712 90.0
1101 To_network J22 418433.725819 4577764.492275 43.71 1.0 0.2 -9999 UPC -9999 -9999 0.496 0.712 90.0
1102 To_network J5 418586.092223 4577689.973094 40.02 1.0 0.2 -9999 UPC -9999 -9999 0.496 0.712 90.0
1103 To_network J5 418584.066459 4577703.285258 40.1 1.0 0.2 -9999 UPC -9999 -9999 0.496 0.712 90.0
